Unnamed: 0,visitor,Criteria(%),Homestay(seasonal),Available_for,House_facilities,absolute_link
101,Meet Helen,56,Urban Cosy,Welcomes Males Females Couples Families Students,TV Air Conditioning Dresser / Drawers Closet / Wardrobe Mirror Hair-dryer,https://www.homestay.com//united-states/new-york/161567-homestay-in-manhattan-new-york
103,Meet Damian,56,Cosmopolitan Stylish,Welcomes Males Females Couples Families Students,Laundry Internet Access,https://www.homestay.com//united-states/brooklyn/265987-homestay-in-williamsburg-brooklyn
104,Meet Daqual ,40,Cosmopolitan Arty,Welcomes Males Females Couples Families Students,Bikes for use Internet Access,https://www.homestay.com//united-states/new-york/253139-homestay-in-manhattan-new-york
109,Meet Priscilla,56,Village Modern,Welcomes Males Females Couples Families Students,Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/queens/257658-homestay-in-queens-queens
110,Meet Manolo,40,Cosmopolitan Arty,Welcomes Males Females Couples Families Students,Bikes for use Internet Access Air Conditioning,https://www.homestay.com//united-states/new-york/253306-homestay-in-manhattan-new-york
111,Meet Simon ,50,Nature Spacious,Welcomes Males Females Couples Families Students,Garden Laundry Internet Access,https://www.homestay.com//united-states/brooklyn/264488-homestay-in-brooklyn-brooklyn
112,Meet Gina,33,Suburban Cosy,Welcomes Males Females Couples Families Students,Bikes for use Internet Access Air Conditioning,https://www.homestay.com//united-states/ozone-park/265590-homestay-in-ozone-park-ozone-park
113,Meet Maria Teresa,10,Stylish,Welcomes Males Females Couples Families Students,Patio TV Internet Access Smoke alarm Smoke alarm on each floor Carbon monoxide detector Air Conditioning,https://www.homestay.com//united-states/new-york/27970-homestay-in-ridgewood-new-york
0,Meet Neil,100,Nature Cosy,Welcomes Males Females Couples Families Students,Laundry Patio Parking Internet Access,https://www.homestay.com//united-states/san-francisco/235810-homestay-in-diamond-heights-glen-park-san-francisco
1,Meet Shula,100,Suburban Cosy,Welcomes Males Females Couples Families Students,Garden Patio Parking TV,https://www.homestay.com//united-states/daly-city/25238-homestay-in-visitacion-valley-daly-city
2,Meet Jane,100,Suburban Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Parking Internet Access Smoke alarm,https://www.homestay.com//united-states/burlingame/153537-homestay-in-quiet-tree-lined-street-burlingame
3,Meet Jennifer,100,Village Modern,Welcomes Males Females Couples Families Students,Garden Laundry Parking Internet Access,https://www.homestay.com//united-states/point-richmond/171098-homestay-in-point-richmond-point-richmond
5,Meet Linda,100,Urban Cosy,Welcomes Males Females Couples Families Students,Desk and Lamp Dresser / Drawers,https://www.homestay.com//united-states/san-francisco/10050-homestay-in-sfsu-san-francisco
7,Meet YINGYING,56,Suburban Amazing views,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/el-sobrante/189733-homestay-in-suburban-el-sobrante
