Unnamed: 0,visitor,Criteria(%),Homestay(seasonal),Available_for,House_facilities,absolute_link
70,Meet erlinda,20,Suburban Stylish,Welcomes Males Females Couples Families Students,Garden Laundry Internet Access,https://www.homestay.com//united-states/san-francisco/187624-homestay-in-ingleside-san-francisco
0,Meet Kathy and Los,50,Coastal Amazing views,Welcomes Males Females Couples Families Students,Laundry Patio Barbecue Parking TV Internet Access,https://www.homestay.com//united-states/san-diego/161798-homestay-in-bay-ho-southwest-clairemont-mission-bay-san-diego
1,Meet Aimee,100,Rural Stylish,Welcomes Males Females Couples Families Students,Garden Games Room Laundry Patio Barbecue Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/chula-vista/90771-homestay-in-chula-vistabonita-area-chula-vista
2,Meet Judy,40,Urban Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Patio TV Internet Access Smoke alarm Wheelchair Accessible,https://www.homestay.com//united-states/san-diego/29486-homestay-in-north-park-san-diego
3,Meet Rose,100,Suburban Cosy,Welcomes Males Females Couples Families Students,Swimming Pool Patio Barbecue TV Internet Access Smoke alarm,https://www.homestay.com//united-states/san-marcos/91553-homestay-in-san-elijo-hills-san-marcos
4,Meet Rusty,100,Urban Spacious,Welcomes Males Females Couples Families Students,Desk and Lamp Wheelchair Accessible TV Air Conditioning Dresser / Drawers Closet / Wardrobe Bedside Locker / Nightstand Carpet / Moquette Mirror Hair-dryer,https://www.homestay.com//united-states/san-diego/30252-homestay-in-north-park-san-diego
6,Meet Carol,100,Coastal Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Patio Barbecue Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/san-diego/31770-homestay-in-point-loma-san-diego
7,Meet Michelle,80,Suburban Spacious,Welcomes Males Females Couples Families Students,Patio Barbecue Parking Internet Access,https://www.homestay.com//united-states/san-diego/168428-homestay-in-quiet-and-safe-neighborhood-san-diego
8,Meet Nancy & Tom ,100,Suburban Cosy,Welcomes Males Females Couples Families Students,Garden Swimming Pool Laundry Patio Barbecue Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/la-mesa/188862-homestay-in-college-area-la-mesa
9,Meet Janet,100,Urban Stylish,Welcomes Males Females Couples Families Students,Bikes for use Laundry Patio TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/san-diego/66326-homestay-in-north-park-san-diego
10,Meet Erika,90,Coastal Modern,Welcomes Males Females Couples Families Students,Desk and Lamp Dresser / Drawers Closet / Wardrobe Bedside Locker / Nightstand Carpet / Moquette Mirror,https://www.homestay.com//united-states/san-diego/33529-homestay-in-mission-bay-san-diego
11,Meet Mocha,56,Modern,Welcomes Males Females Couples Families Students,Laundry Parking Internet Access,https://www.homestay.com//united-states/chula-vista/252924-homestay-in-winding-walk-chula-vista
12,Meet Katie,10,Coastal Amazing views,Welcomes Males Females Couples Families Students,Beach Bus Stop,https://www.homestay.com//united-states/san-diego/201061-homestay-in-ocean-beach-san-diego
13,Meet Bernice,100,Urban Period style,Welcomes Males Females Couples Families Students,Library Shopping Centre Health club Restaurant Bus Stop,https://www.homestay.com//united-states/san-diego/171178-homestay-in-oak-park-san-diego
14,Meet Mary Lou,100,Suburban Welcoming,Welcomes Males Females Couples Families Students,Garden Laundry Patio Barbecue Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/san-diego/220472-homestay-in-del-cerro-san-carlos-san-diego
15,Meet Cheryl,100,Nature Modern,Welcomes Males Females Couples Families Students,Desk and Lamp TV Air Conditioning Dresser / Drawers Closet / Wardrobe Bedside Locker / Nightstand Carpet / Moquette Mirror Hair-dryer,https://www.homestay.com//united-states/san-diego/152170-homestay-in-north-countysan-diego-san-diego
16,Meet Brian,0,Urban Stylish,Welcomes Males Females Couples Families Students,Laundry Internet Access Air Conditioning,https://www.homestay.com//united-states/san-diego/226628-homestay-in-bankers-hillpark-west-san-diego
17,Meet Jessica,90,Suburban Amazing views,Welcomes Males Females Couples Families Students,Desk and Lamp TV Closet / Wardrobe Bedside Locker / Nightstand Fridge,https://www.homestay.com//united-states/vista/209424-homestay-in-buena-creek-vista
18,Meet Irina,56,Urban Eco friendly,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Patio Internet Access Smoke alarm Gym at home Air Conditioning,https://www.homestay.com//united-states/san-diego/213952-homestay-in-mira-mesa-san-diego
19,Meet Junko,56,Rural Cosy,Welcomes Males Females Couples Families Students,TV Closet / Wardrobe Bedside Locker / Nightstand Mirror Fridge Hair-dryer,https://www.homestay.com//united-states/la-jolla/46570-homestay-in-la-jolla-southpointe-la-jolla
20,Meet Nancy Zazil,56,Suburban Cosy,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Internet Access Air Conditioning,https://www.homestay.com//united-states/san-diego/167849-homestay-in-south-park-san-diego
21,Meet Debi,100,Suburban Spacious,Welcomes Males Females Couples Families Students,Bikes for use Computer Games Room Swimming Pool Laundry Patio Barbecue Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/san-diego/215645-homestay-in-san-carlos-neighborhood-san-diego
22,Meet Melody,100,Suburban Stylish,Welcomes Males Females Couples Families Students,Computer Patio Parking TV Internet Access Smoke alarm,https://www.homestay.com//united-states/san-diego/11366-homestay-in-spring-valley-san-diego
23,Meet Nicole,56,Suburban Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/chula-vista/253696-homestay-in-rolling-hills-chula-vista
24,Meet Joanna,56,Beachy Modern,Welcomes Males Females Couples Families Students,Parking Internet Access,https://www.homestay.com//united-states/san-diego/247574-homestay-in-ocean-beach-san-diego
25,Meet Alberto,56,Suburban Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Internet Access,https://www.homestay.com//united-states/chula-vista/228106-homestay-in-chula-vista-chula-vista
28,Meet Dawn,90,Village Arty,Welcomes Males Females Couples Families Students,Desk and Lamp Air Conditioning Closet / Wardrobe Bedside Locker / Nightstand Mirror,https://www.homestay.com//united-states/escondido/213780-homestay-in-escondido-escondido
29,Meet Bri,56,Coastal Spacious,Welcomes Males Females Couples Families Students,Laundry Internet Access,https://www.homestay.com//united-states/cardiff/194350-homestay-in-encinitas-cardiff
30,Meet Scott,100,Suburban Modern,Welcomes Males Females Couples Families Students,Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/san-marcos/257822-homestay-in-north-county-san-diego-san-marcos
32,Meet Nicole,56,Cosmopolitan Stylish,Welcomes Males Females Couples Families Students,Garden Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/san-diego/207988-homestay-in-point-loma-heights-san-diego
33,Meet Caprice,100,Suburban Cosy,Welcomes Males Females Couples Families Students,Laundry Internet Access Air Conditioning,https://www.homestay.com//united-states/la-mesa/251358-homestay-in-la-mesa-la-mesa
34,Meet Alexandra,20,Cosmopolitan Modern,Welcomes Males Females Couples Families Students,Swimming Pool Laundry Parking Internet Access Wheelchair Accessible Gym at home Air Conditioning,https://www.homestay.com//united-states/san-diego/233791-homestay-in-san-diego-san-diego
35,Meet Maricela ,56,Nature Spacious,Welcomes Males Females Couples Families Students,Parking Internet Access,https://www.homestay.com//united-states/la-mesa/259308-homestay-in-mount-helix-community-la-mesa
36,Meet Desiree,56,Nature Amazing views,Welcomes Males Females Couples Families Students,Garden Swimming Pool Laundry Patio Barbecue Parking Internet Access Smoke alarm Gym at home Air Conditioning,https://www.homestay.com//united-states/rancho-santa-fe/176066-homestay-in-san-diego-ca-rancho-santa-fe
37,Meet frans,56,Lakes  Cosy,Welcomes Males Females Couples Families Students,Garden Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/lakeside/182053-homestay-in-lakeside-lakeside
40,Meet Marvin and Wilma,56,Suburban Spacious,Welcomes Males Females Couples Families Students,Garden Swimming Pool Laundry Patio Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/carlsbad/261869-homestay-in-bressi-ranch-carlsbad
41,Meet sammarie,56,Urban Modern,Welcomes Males Females Couples Families Students,Garden Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/chula-vista/267957-homestay-in-chula-vista-chula-vista
42,Meet Greg and Raquel,56,Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/san-marcos/251995-homestay-in-suburban-wfreeway-access-san-marcos
44,Meet Manuel,90,Suburban Modern,Welcomes Males Females Couples Families Students,Desk and Lamp TV Air Conditioning Dresser / Drawers Closet / Wardrobe Bedside Locker / Nightstand Mirror Fridge Hair-dryer,https://www.homestay.com//united-states/san-diego/228836-homestay-in-north-park-san-diego
45,Meet Kasumi,56,Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Barbecue Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/escondido/197778-homestay-in-san-marcos-san-diego-escondido
49,Meet Rick,56,Suburban Spacious,Welcomes Males Females Couples Families Students,Laundry Parking Internet Access Wheelchair Accessible Air Conditioning,https://www.homestay.com//united-states/el-cajon/258487-homestay-in-el-cajon-el-cajon
51,Meet Hoctor,56,Urban Historical,Welcomes Males Females Couples Families Students,Garden Laundry Internet Access Air Conditioning,https://www.homestay.com//united-states/san-diego/268465-homestay-in-el-cerrito-san-diego
53,Meet selena,40,Urban Spacious,Welcomes Males Females Couples Families Students,Garden Bikes for use Swimming Pool Laundry Patio Barbecue Parking TV Internet Access,https://www.homestay.com//united-states/bonita/66610-homestay-in-chula-vista-bonita
54,Meet Emilio,100,Urban Cosy,Welcomes Males Females Couples Families Students,Garden Computer Swimming Pool Laundry Patio Barbecue Parking TV Internet Access Smoke alarm Wheelchair Accessible Gym at home Air Conditioning,https://www.homestay.com//united-states/san-diego/262338-homestay-in-la-jolla-university-town-center-utc-san-diego
55,Meet Cecile,100,Urban Stylish,Welcomes Males Females Couples Families Students,Swimming Pool Laundry Parking Internet Access Gym at home Air Conditioning,https://www.homestay.com//united-states/san-diego/269800-homestay-in-fashion-valleymission-valley-san-diego
58,Meet Kristin,87,Coastal Stylish,Welcomes Males Females Couples Families Students,Laundry Parking Internet Access Gym at home,https://www.homestay.com//united-states/san-diego/255419-homestay-in-la-jolla-san-diego
59,Meet Margaret,90,Suburban Historical,Welcomes Males Females Couples Families Students,Desk and Lamp TV Air Conditioning Dresser / Drawers Closet / Wardrobe Bedside Locker / Nightstand Carpet / Moquette Mirror Hair-dryer,https://www.homestay.com//united-states/lemon-grove/169284-homestay-in-suburban-lemon-grove
60,Meet Jocelyn,85,Coastal Cosy,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Parking Internet Access Wheelchair Accessible Gym at home Air Conditioning,https://www.homestay.com//united-states/san-diego/68440-homestay-in-clairemont-san-diego
61,Meet Nydia,56,Suburban Modern,Welcomes Males Females Couples Families Students,Garden Swimming Pool Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/chula-vista/178778-homestay-in-belleme-chula-vista
62,Meet Annie,56,Suburban Cosy,Welcomes Males Females Couples Families Students,Park Beach Shopping Centre Bus Stop Hospital,https://www.homestay.com//united-states/san-diego/228777-homestay-in-university-city-san-diego
64,Meet Zander,40,Coastal Stylish,Welcomes Males Females Couples Families Students,Bikes for use Laundry Parking Internet Access,https://www.homestay.com//united-states/imperial-beach/241792-homestay-in-beach-imperial-beach
65,Meet Annette,71,Urban Modern,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/san-diego/246409-homestay-in-clairemont-san-diego
66,Meet Jeanie,33,Urban Stylish,Welcomes Males Females Couples Families Students,Desk and Lamp TV Dresser / Drawers Closet / Wardrobe Bedside Locker / Nightstand Mirror Hair-dryer,https://www.homestay.com//united-states/san-diego/210283-homestay-in-san-diego-san-diego
0,Meet Carmen,85,Urban Rustic,Welcomes Males Females Couples Families Students,Laundry Patio Barbecue TV Internet Access,https://www.homestay.com//united-states/washington-dc/56341-homestay-in-takoma-dc-washington-dc
1,Meet PAT,56,Urban Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Barbecue TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/washington/174471-homestay-in-american-university-park-washington
2,Meet Mary,100,Urban Stylish,Welcomes Males Females Couples Families Students,Desk and Lamp Air Conditioning Dresser / Drawers Closet / Wardrobe Bedside Locker / Nightstand Fridge,https://www.homestay.com//united-states/falls-church/24191-homestay-in-falls-church-falls-church
3,Meet Sri,100,Urban Cosy,Welcomes Males Females Couples Families Students,Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/rockville/239790-homestay-in-montgomery-county-rockville
4,Meet Titik,100,Suburban Shabby chic,Welcomes Males Females Couples Families Students,Garden Games Room Laundry Patio Parking TV Internet Access Air Conditioning,https://www.homestay.com//united-states/rockville/55238-homestay-in-rockville-rockville
5,Meet Katarzyna,56,Cosmopolitan Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/falls-church/191931-homestay-in-falls-church-city-falls-church
6,Meet Heidi,100,Suburban Stylish,Welcomes Males Females Couples Families Students,Laundry Internet Access Air Conditioning,https://www.homestay.com//united-states/mc-lean/144928-homestay-in-mclean-mclean
7,Meet Eric,100,Cosmopolitan Stylish,Welcomes Males Females Couples Families Students,Laundry Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/laurel/254820-homestay-in-urban-laurel
8,Meet Dolores,56,Cosmopolitan Stylish,Welcomes Males Females Couples Families Students,Garden Patio Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/silver-spring/240329-homestay-in-kensington-silver-spring
10,Meet Kay,100,Suburban Spacious,Welcomes Males Females Couples Families Students,Laundry Patio Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/laurel/150723-homestay-in-main-street-laurel
12,Meet Marty,56,Suburban Cosy,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/springfield/256490-homestay-in-terra-grande-subdivision-springfield
13,Meet Natasha,56,Nature Stylish,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/washington/185892-homestay-in-washington-washington
15,Meet THOMAS,20,Suburban Cosy,Welcomes Males Females Couples Families Students,Swimming Pool Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/college-park/190596-homestay-in-college-park-md-college-park
16,Meet Kha,56,Suburban Cosy,Welcomes Males Females Couples Families Students,Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/hillcrest-heights/259798-homestay-in-suitland-hillcrest-heights
17,Meet Pat,56,Urban Eco friendly,Welcomes Males Females Couples Families Students,Laundry Patio Parking Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/washington/265105-homestay-in-columbia-heights-washington
18,Meet Dr. Koura,56,Urban Spacious,Welcomes Males Females Couples Families Students,Garden Parking Air Conditioning,https://www.homestay.com//united-states/washington/250257-homestay-in-hillcrest-washington
19,Meet Sauvion,56,Urban Stylish,Welcomes Males Females Couples Families Students,Garden Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/riverdale-park/253839-homestay-in-riverdale-park-dmv-5-min-from-wash-dc-riverdale-park
20,Meet Padma,56,Urban Historical,Welcomes Males Females Couples Families Students,Garden Laundry Internet Access,https://www.homestay.com//united-states/washington/265959-homestay-in-georgetown-washington-dc-washington
21,Meet Anzuman,56,Urban Stylish,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Patio Barbecue Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/alexandria/40118-homestay-in-alexandria
22,Meet Marlene,56,Urban Stylish,Welcomes Males Females Couples Families Students,Garden Laundry Patio Parking Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/arlington/215705-homestay-in-arlington-arlington
24,Meet Alexandra & Sergey,90,Urban Shabby chic,Welcomes Males Females Couples Families Students,Desk and Lamp TV Air Conditioning Dresser / Drawers Closet / Wardrobe Bedside Locker / Nightstand Carpet / Moquette Mirror Hair-dryer,https://www.homestay.com//united-states/chevy-chase/32071-homestay-in-rockville-chevy-chase
0,Meet Crystal,80,Village Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Patio Barbecue Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/las-vegas/16613-homestay-in-sunrise-manor-las-vegas
1,Meet Franco,100,Suburban Luxurious,Welcomes Males Females Couples Families Students,Desk and Lamp Wheelchair Accessible Air Conditioning Dresser / Drawers Closet / Wardrobe Bedside Locker / Nightstand Carpet / Moquette Mirror Fridge Hair-dryer,https://www.homestay.com//united-states/las-vegas/75626-homestay-in-north-west-las-vegas
2,Meet Victoria,40,Arty,Welcomes Males Females Couples Families Students,Swimming Pool Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/las-vegas/273180-homestay-in-central-las-vegas
4,Meet Sophia,56,Urban Stylish,Welcomes Males Females Couples Families Students,Garden Laundry Internet Access,https://www.homestay.com//united-states/north-las-vegas/221153-homestay-in-north-east-not-close-to-mountains-north-las-vegas
5,Meet JeongHwan,56,Urban Amazing views,Welcomes Males Females Couples Families Students,Garden Laundry Patio Barbecue Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/las-vegas/251412-homestay-in-summerlin-las-vegas
6,Meet Patricia,56,Cosmopolitan Stylish,Welcomes Males Females Couples Families Students,Park Shopping Centre Bus Stop Hospital,https://www.homestay.com//united-states/las-vegas/229946-homestay-in-the-lake-las-vegas
0,Meet Daisy,56,Cosmopolitan Relaxed.,Welcomes Males Females Couples Families Students,Garden Swimming Pool Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/coral-gables/190949-homestay-in-downtown-coral-gables-coral-gables
1,Meet Ana,56,Suburban Stylish,Welcomes Males Females Couples Families Students,Park Shopping Centre Bus Stop Train station Hospital,https://www.homestay.com//united-states/miami/201253-homestay-in-south-miami-miami
2,Meet Gene,100,Suburban Period style,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/south-miami/248034-homestay-in-south-miami-south-miami
3,Meet Veronica,50,Suburban Spacious,Welcomes Males Females Couples Families Students,Swimming Pool Laundry Parking Internet Access Wheelchair Accessible Air Conditioning,https://www.homestay.com//united-states/miami-springs/263764-homestay-in-miami-springs-hialeah-doral-miami-springs
5,Meet Manuel,56,Urban Modern,Welcomes Males Females Couples Families Students,Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/miami/193181-homestay-in-north-river-drive-miami
6,Meet Pascal ,56,Cosmopolitan Cosy,Welcomes Males Females Couples Families Students,Garden Swimming Pool Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/el-portal/255622-homestay-in-el-portal-el-portal
8,Meet Gloria,100,Urban Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/coral-gables/248744-homestay-in-305-coral-gables
9,Meet Carlos,0,Beachy Modern,Welcomes Males Females Couples Families Students,Laundry Internet Access Air Conditioning,https://www.homestay.com//united-states/miami/266773-homestay-in-little-havana-miami
10,Meet Gustavo,56,Urban Amazing views,Welcomes Males Females Couples Families Students,Garden Swimming Pool Laundry Parking Internet Access Wheelchair Accessible Air Conditioning,https://www.homestay.com//united-states/miami/253741-homestay-in-snapper-village-miami
0,Meet Courtnay,90,Suburban Cosy,Welcomes Males Females Couples Families Students,Desk and Lamp Air Conditioning Dresser / Drawers Closet / Wardrobe Mirror,https://www.homestay.com//united-states/albuquerque/214177-homestay-in-elder-homestead-albuquerque
1,Meet Michaela,50,Urban Shabby chic,Welcomes Males Females Couples Families Students,Desk and Lamp Air Conditioning Dresser / Drawers Closet / Wardrobe Carpet / Moquette Hair-dryer,https://www.homestay.com//united-states/albuquerque/18354-homestay-in-griegos-neighborhood-albuquerque
2,Meet Natasha,56,Urban Stylish,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Parking Internet Access Wheelchair Accessible Air Conditioning,https://www.homestay.com//united-states/albuquerque/208459-homestay-in-old-albuquerque-country-club-albuquerque
3,Meet Michaela,100,Suburban Eco friendly,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Patio Parking Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/albuquerque/253532-homestay-in-griegos-albuquerque
4,Meet John,56,Suburban Stylish,Welcomes Males Females Couples Families Students,Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/albuquerque/244551-homestay-in-royal-heights-albuquerque
0,Meet Ron,100,Urban,Welcomes Males Females Couples Families Students,Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/speedway/256972-homestay-in-speedway-speedway
1,Meet Daphne,56,social Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/carmel/247343-homestay-in-hamilton-county-carmel
3,Meet Nadira,56,Suburban Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Patio Barbecue Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/whitestown/230455-homestay-in-harvest-park-whitestown
0,Meet Obinna,100,Urban Stylish,Welcomes Males Females Couples Families Students,Air Conditioning Closet / Wardrobe Bedside Locker / Nightstand Carpet / Moquette,https://www.homestay.com//united-states/philadelphia/84324-homestay-in-belmont-philadelphia
1,Meet Patricia,100,Urban Historical,Welcomes Males Females Couples Families Students,Laundry Patio Internet Access,https://www.homestay.com//united-states/philadelphia/97276-homestay-in-university-city-philadelphia
2,Meet Rebecca,80,Nature Historical,Welcomes Males Females Couples Families Students,Parking TV Air Conditioning,https://www.homestay.com//united-states/philadelphia/166027-homestay-in-close-to-parkslakes-restaurants-hiking-and-biking-areas-etc-philadelphia
3,Meet Carolyn,56,Urban Modern,Welcomes Males Females Couples Families Students,Internet Access Air Conditioning,https://www.homestay.com//united-states/philadelphia/126035-homestay-in-philadelphia
4,Meet Renae,100,Urban Shabby chic,Welcomes Males Females Couples Families Students,TV Air Conditioning Dresser / Drawers Closet / Wardrobe,https://www.homestay.com//united-states/philadelphia/233289-homestay-in-torresdale-philadelphia
5,Meet Eva,80,Urban Cosy,Welcomes Males Females Couples Families Students,Laundry Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/philadelphia/100525-homestay-in-university-city-west-philly-philadelphia
6,Meet Donna,56,Urban Spacious,Welcomes Males Females Couples Families Students,TV Air Conditioning Dresser / Drawers Bedside Locker / Nightstand Mirror,https://www.homestay.com//united-states/philadelphia/83927-homestay-in-residential-urban-philadelphia
7,Meet Claudia,100,Suburban Arty,Welcomes Males Females Couples Families Students,Desk and Lamp Dresser / Drawers Closet / Wardrobe Bedside Locker / Nightstand Carpet / Moquette Fridge,https://www.homestay.com//united-states/philadelphia/147447-homestay-in-germantown-philadelphia
10,Meet Keena,100,Suburban Cosy,Welcomes Males Females Couples Families Students,Barbecue Parking TV Internet Access Air Conditioning,https://www.homestay.com//united-states/pennsauken/71653-homestay-in-merchantville-pennsauken
11,Meet Alexis,56,Urban Stylish,Welcomes Males Females Couples Families Students,Internet Access Air Conditioning,https://www.homestay.com//united-states/camden/266853-homestay-in-camden-camden
12,Meet Jennifer,56,Suburban Period style,Welcomes Males Females Couples Families Students,Garden Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/philadelphia/266609-homestay-in-chestnut-hill-philadelphia
13,Meet Gio,56,Urban Stylish,Welcomes Males Females Couples Families Students,Laundry Barbecue Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/philadelphia/251439-homestay-in-filter-square-philadelphia
14,Meet Linda,56,Urban Arty,Welcomes Males Females Couples Families Students,Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/philadelphia/269351-homestay-in-west-mount-airy-philadelphia
17,Meet Jeff,56,Exotic Historical,Welcomes Males Females Couples Families Students,TV Internet Access Smoke alarm,https://www.homestay.com//united-states/bristol/206736-homestay-in-philadelphia-bristol
19,Meet Brenda,56,Suburban Cosy,Welcomes Males Females Couples Families Students,Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/clementon/237790-homestay-in-quiet-clementon
20,Meet Gerzie,56,Urban Cosy,Welcomes Males Females Couples Families Students,Internet Access Wheelchair Accessible Air Conditioning,https://www.homestay.com//united-states/philadelphia/254337-homestay-in-north-central-philadelphia-philadelphia
26,Meet Irene,100,Urban Arty,Welcomes Males Females Couples Families Students,Garden Laundry Patio Barbecue Internet Access Air Conditioning,https://www.homestay.com//united-states/philadelphia/239101-homestay-in-west-philadelphia-philadelphia
31,Meet Donna ,40,Urban Cosy,Welcomes Males Females Couples Families Students,Computer Laundry Patio Parking TV Internet Access Smoke alarm Carbon monoxide detector Air Conditioning,https://www.homestay.com//united-states/philadelphia/83779-homestay-in-bluebell-hill-philadelphia
32,Meet Ashley & Crystal,56,Urban Stylish,Welcomes Males Females Couples Families Students,Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/philadelphia/240735-homestay-in-west-philadelphia-philadelphia
37,Meet Paz,80,Cosmopolitan Arty,Welcomes Males Females Couples Families Students,Laundry Internet Access Air Conditioning,https://www.homestay.com//united-states/philadelphia/265948-homestay-in-university-city-philadelphia
